agent_id,svi,original_mode,final_mode,status,evacuation_time_minutes,total_distance_m,start_lat,start_lon,end_lat,end_lon,fail_reason,started_at,arrived_at,used_public_transport,segments_completed,total_segments,start_in_evacuation_area,end_in_evacuation_area,total_wait_time_minutes,total_transit_time_minutes,total_walking_time_minutes,stations_visited,routes_taken,target_destination_name,target_destination_type,target_destination_lat,target_destination_lon,target_destination_distance_m,destination_category,is_home_destination
42_0007,0.3985655538584425,TRAIN,WALKING,EVACUATING,180.0,10658.24638006772,48.8621669,2.3493687,48.77148955783378,2.312290778994412,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,50557.00666303338,Community,false
42_0009,0.36213180505030484,TRAIN,WALKING,EVACUATING,180.0,10414.527160760468,48.8553972,2.3601633,48.77056160308487,2.311861797196648,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,50073.98267343265,Community,false
42_0009,0.36213180505030484,TRAIN,WALKING,EVACUATING,180.0,10414.527160760468,48.8553972,2.3601633,48.77056160308487,2.311861797196648,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,50073.98267343265,Community,false
42_0051,0.445158900284224,TRAIN,WALKING,EVACUATING,180.0,11014.079780897402,48.8707762,2.3467297,48.90556390968618,2.4790470968085376,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,49956.47811486384,Educational,false
42_0051,0.445158900284224,TRAIN,WALKING,EVACUATING,180.0,11014.079780897402,48.8707762,2.3467297,48.90556390968618,2.4790470968085376,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,49956.47811486384,Educational,false
42_0068,0.6907201840539838,TRAIN,WALKING,EVACUATING,180.0,11014.10467473321,48.8875893,2.3655834,48.90892302666549,2.5014519696726594,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,48299.20338305299,Educational,false
42_0068,0.6907201840539838,TRAIN,WALKING,EVACUATING,180.0,11014.10467473321,48.8875893,2.3655834,48.90892302666549,2.5014519696726594,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,48299.20338305299,Educational,false
42_0097,0.48743621696497486,TRAIN,WALKING,EVACUATING,180.0,10251.411515185828,48.709196,2.4598209,48.6437938597832,2.537983744181416,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],École maternelle Robert Lesourd,school,48.4738729,2.701844,31688.40121007107,Educational,false
42_0097,0.48743621696497486,TRAIN,WALKING,EVACUATING,180.0,10251.411515185828,48.709196,2.4598209,48.6437938597832,2.537983744181416,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],École maternelle Robert Lesourd,school,48.4738729,2.701844,31688.40121007107,Educational,false
42_0111,0.5312905475888251,TRAIN,WALKING,EVACUATING,180.0,10781.759036221769,48.8763299,2.3598421,48.90820914861281,2.496616194079275,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,48900.63466302829,Educational,false
42_0111,0.5312905475888251,TRAIN,WALKING,EVACUATING,180.0,10781.759036221769,48.8763299,2.3598421,48.90820914861281,2.496616194079275,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,48900.63466302829,Educational,false
42_0117,0.46350570644253913,TRAIN,WALKING,EVACUATING,180.0,10436.908952162696,48.8411881,2.668345,48.844412870178445,2.800216598691088,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Groupe Scolaire Fernand Picot,school,48.8244407,3.039645,27185.33364851906,Educational,false
42_0117,0.46350570644253913,TRAIN,WALKING,EVACUATING,180.0,10436.908952162696,48.8411881,2.668345,48.844412870178445,2.800216598691088,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Groupe Scolaire Fernand Picot,school,48.8244407,3.039645,27185.33364851906,Educational,false
42_0369,0.5221029442750277,TRAIN,WALKING,FAILED,1.0,0.0,48.8104034,2.3619939,48.8104034,2.3619939,Could not find any safe destination,2025-09-01T08:00:00,2025-09-01T08:01:00,false,0,0,true,true,0.0,0.0,0.0,[],[],,Unknown,,,0.0,Unknown,false
42_0372,0.31839812316087107,TRAIN,WALKING,EVACUATING,180.0,10184.967315243182,48.8523264,2.3667512,48.77404842717404,2.313330024395903,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,49890.6766597839,Community,false
42_0372,0.31839812316087107,TRAIN,WALKING,EVACUATING,180.0,10184.967315243182,48.8523264,2.3667512,48.77404842717404,2.313330024395903,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,49890.6766597839,Community,false
42_0374,0.6344958225033204,TRAIN,WALKING,EVACUATING,180.0,11096.206942402738,48.828208,2.3354288,48.73599571827514,2.301518817064856,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,46732.53511478896,Community,false
42_0374,0.6344958225033204,TRAIN,WALKING,EVACUATING,180.0,11096.206942402738,48.828208,2.3354288,48.73599571827514,2.301518817064856,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,46732.53511478896,Community,false
42_0374,0.6344958225033204,TRAIN,WALKING,EVACUATING,180.0,11096.206942402738,48.828208,2.3354288,48.73599571827514,2.301518817064856,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,46732.53511478896,Community,false
42_0395,0.2560697356153009,TRAIN,WALKING,EVACUATING,180.0,10660.827915175232,48.8828089,2.3581562,48.90795079003322,2.4951005616389654,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,48895.26652835381,Educational,false
42_0395,0.2560697356153009,TRAIN,WALKING,EVACUATING,180.0,10660.827915175232,48.8828089,2.3581562,48.90795079003322,2.4951005616389654,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,48895.26652835381,Educational,false
